HighCommandArmy,高級指揮部（陸軍）
HighCommandArmyDescription,一名軍官。您可以向排名和檔案發出訂單。
HighCommandNaval,高級指揮（海軍）
HighCommandNavalDescription,一名上尉。你優先考慮航行一艘海軍艦艇。
Medicine,醫學
MedicineDescription,精通醫學領域。你能夠治愈受傷的球員。
HorsebackRiding,騎馬
HorsebackRidingDescription,訓練有素的騎馬藝術。你可以登上並駕駛戰爭的冰河戰鬥。
EngineeringSpecialist,工程
EngineeringSpecialistDescription,精通軍事工程建設。你可以製定各種防禦陣地並修復大砲。
EngineeringBasics,工程基礎知識
EngineeringBasicsDescription,軍事工程建設基礎培訓。你可以協助其他工程師建立防禦陣地並建造反步兵團。
Carpentry,木工
CarpentryBasics,擅長木製品。你可以修復受損的海軍艦艇和大砲。
ArtilleryOperator,砲兵經營者
ArtilleryOperatorDescription,精通各種火砲的操作。你優先使用野戰炮，攻城炮和迫擊砲。
RocketOperator,火箭操作員
RocketOperatorDescription,精通火箭的操作。你優先使用火箭發射器。
ExplosivesHandling,爆炸物處理
ExplosivesHandlingDescription,精通炸藥的處理。你可以攜帶爆炸物。
RankAndFile,排名和檔案
RankAndFileDescription,鑽頭，鑽頭和更多鑽頭。您廣泛的紀律使您可以從軍官的命令中獲得槍械準確性和近戰傷害獎勵。您還可以從音樂家和旗手那裡獲益。
Guardsman,近衛兵
GuardsmanDescription,責任必須保護高級指揮。你減少了對附近盟軍軍官造成的傷害{0}％（疊加{1}次）。
Musician,音樂家
MusicianDescription,盛況和環境。您將等級和檔案的槍支準確度提高{0}％。如果另一位音樂家和你一起演奏曲調，獎金會上升到{1}％。
StandardBearer,標準持票人
StandardBearerDescription,在戰場上游行你的派系的顏色。當您的旗幟裝備時，您可以提高為等級和檔案重新加載槍械的速度{0}％。
Abilities,能力
FormLine,形式線
FormLineDescription,指示等級和檔案形成一條線，以便跟隨光榮的火槍凌空射擊。使用滾輪旋轉標記。
MakeReady,做好準備！
MakeReadyDescription,指導等級和檔案為他們的火槍做好準備。排隊的步兵將收到命令，以準備他們的槍支準備開始凌空射擊。
Fire,火！
FireDescription,指示等級和檔案開始光榮的凌空射擊。您可以通過{0}％提高所有對您的訂單有效的好人的槍械準確度。
FireAtWill,隨意射擊！
FireAtWillDescription,指示等級和檔案按照自己的意願開始射擊。你增加{0}％排隊的所有優秀男子的槍械準確度。
CeaseFire,停火
CeaseFireDescription,指示等級和檔案停火。利用這個讓紳士知道他們應該停止射擊。
Charge,收費！
ChargeDescription,在光榮的衝鋒之前召集你的男人，並命令他們用刺刀裝備前進。你會在短時間內顯著增加近戰傷害。
BreakRankAndFollow,打破排名並跟隨
BreakRankAndFollowDescription,指示等級和檔案打破他們的等級並遵循。利用這個讓男人知道你在移動位置。
Reinforce,加強
ReinforceDescription,"告訴高級指揮官和其他紳士，你們迫切需要增援。信標將放置在您的位置。
這些可以通過相同的按鍵切換打開和關閉。"
Orders,命令
