All,所有
Community,社区
Connect,连接
Connected,已连接
Connecting,连接中
Disconnected,已断开连接
Disconnecting,断开连接中
Filters,过滤器
Game Type,游戏类型
Join Official Server,加入官方服务器
Join Other Server,加入自定义服务器
Join Server,加入服务器
Latency,延迟
Lobby Status,大厅状态
Locked,有密码
Map,地图
Official,官方
Players,玩家人数
Privacy,私密
Public,开放
Refresh,刷新
Region,地区
Search,搜索
Server Address,服务器地址
Server Browser,服务器浏览器
Server Name,服务器名称
Server Password,服务器密码
Server Port,服务器端口
Server Type,服务器类型
Show Empty Servers,显示空服务器
Show Favorites Only,仅显示收藏夹
Show Full Servers,显示已满服务器
Show Private Servers,显示锁定的服务器
Status,状态
Favourites,收藏
SelectServer,选择服务器
EnterPassword,输入密码...
EnterServerAddress,输入服务器地址...
