All,全部
Community,社區
Connect,連接
Connected,已連接
Connecting,正在連接
Disconnected,已斷開連接
Disconnecting,正在斷開連接
Filters,篩選器
Game Type,遊戲類別
Join Official Server,加入官方伺服器
Join Other Server,加入自定義服務器
Join Server,加入伺服器
Latency,延遲
Lobby Status,大廳狀態
Locked,有密碼
Map,地圖
Official,官方
Players,玩家人數
Privacy,私密
Public,開放
Refresh,刷新
Region,地區
Search,搜索
Server Address,伺服器地址
Server Browser,檢索伺服器
Server Name,伺服器名稱
Server Password,伺服器密碼
Server Port,伺服器端口
Server Type,伺服器類別
Show Empty Servers,顯示無人的伺服器
Show Favorites Only,僅顯示收藏夾
Show Full Servers,顯示已滿伺服器
Show Private Servers,顯示鎖定的伺服器
Status,狀態
Favourites,收藏
SelectServer,選擇伺服器
EnterPassword,輸入密碼...
EnterServerAddress,輸入伺服器地址...
