AncientPlains,古老的平原
ArcticSea,北冰洋
ArendanRiver,阿倫丹河
BalamorBay,巴拉莫灣
BlackForest,黑森林
CampSalamanca,薩拉曼卡營地
Canyon,峽谷
Caribbean,加勒比海
CastleArena,城堡競技場
Causeways,堤道
ColonialTown,殖民鎮
CrossHills,交錯山嶺
DesertPlains,沙漠平原
DesertPlainsSmall,沙漠平原
DesertRuins,沙漠廢墟
DutchCanals,荷蘭運河
Egypt,塔希爾沙漠
ErnestRidge,歐內斯特嶺
FortArena,堡壘競技場
FortChristiana,克里斯蒂娜要塞
FortNational,帝國要塞
FortPierre,皮埃爾堡
FortSalettes,堡壘
FortSchwarz,施瓦茨堡
FortWinston,堡壘溫斯頓
GarrisonArena,駐軍競技場
GrassyPlains,草地平原1（l）
GrassyPlainsII,草地平原2（l）
GrassyPlainsIII,草地平原3（l）
HaroutiIslands,哈羅德群島
Highlands,高地
KingGeorge,喬治國王
LighthouseIslands,燈塔島
Linburg,Linburg
MartelloTower,圓形石堡
Matanzas,馬坦薩斯要塞
PalisadeArena,柵欄競技場
RandomWaters,開放水域
SacredArena,神聖的競技場
SanMarcos,聖馬科斯
Sharpton,夏普敦
SnowyPlains,雪原1（l）
SnowyPlainsII,雪原2（l）
SnowyPlainsIII,雪原3（l）
SnowyPlainsIV,雪原4（l）
SnowyPlainsSmall,雪原（s）
SnowyPlainsV,雪原5（l）
SouthSeaCastle,南海城堡
SpanishFarm,西班牙農場
TestLevel,在測試中
TestLevelII,在測試中
TestLevelIII,在測試中
TrainingGrounds,訓練場
WatchtowerArena,瞭望塔競技場
TestLevelIV,在測試中
CustomMap,自定義地圖
